원형                                 p 조각       평균오차    크기비  큰 편차 선
jump_suite_body                   71 뒤판      0.583   1.25  뒤목선,뒤암홀,뒤중심선,뒤중심선아래,뒤어깨선,뒤옆선
pussy_bow_blouse_body             55 뒤판      0.548   0.89  뒤목선,뒤암홀,뒤중심선,뒤중심선아래,뒤어깨선,뒤옆선
jump_suite_pants                  71 뒤판      0.429   1.38  뒤허리선안,뒤다트,뒤허리선밖,뒤중심선,뒤밑위곡선,뒤인심
box_body                          46 뒤판      0.388   1.06  뒤암홀,뒤중심선,뒤중심선아래,뒤옆선,뒤밑단
box_body                          46 앞판      0.370   1.02  앞목선,앞암홀,앞중심선,앞옆선,앞밑단
skirt_highwaist                   21 앞판      0.367   0.87  앞절개,앞윗선밖,앞옆선,앞밑단
sleeveless_dress_body             63 뒤판      0.351      -  뒤목선,뒤암홀,뒤중심선,뒤어깨선,뒤옆선,뒤허리다트
bow_tie                           55         0.340   0.97  윗선,아랫선,타이끝
skirt_divided                     23 뒤판      0.330      -  겹트임덧단,뒤허리선2,뒤옆선,뒤밑단,뒤샅선,뒤인심
skirt_gored                       19 앞판      0.318      -  앞허리선,앞고어절개1,앞고어절개1밖,앞고어절개2,앞고어절개2밖,앞옆선
sleeveless_dress_body             63 앞판      0.315      -  앞목선,앞어깨선,앞암홀,앞중심선,가슴다트,앞옆선
skirt_hipbone                      7 뒤판      0.302   0.92  뒤옆선아래,겹트임덧단,뒤다트,뒤허리선2,뒤옆선위
oversize_blouse_body              51 뒤판      0.289   1.00  뒤암홀,뒤어깨선,뒤옆선
oversized_jacket_body             99 뒤판      0.278   1.00  뒤목선,뒤암홀,뒤중심선,뒤중심선아래,뒤어깨선,뒤옆선
skirt_tapered                     11 앞판      0.275      -  앞턱1산,앞턱1,앞턱2산,앞턱2,앞허리선3,앞옆선
skirt_trumpet                     17 앞판      0.258      -  앞허리선안,앞절개선안,앞절개선밖,앞허리선밖,앞옆선
waistband_curved                   7         0.255   1.03  윗선,밑선,뒤끝
jump_suite_pants                  71 앞판      0.249   0.97  앞다트,앞인심,앞옆선,앞밑단
flat_collar                       69         0.236   0.93  목둘레선,외곽선,앞끝
jump_suite_body                   71 앞판      0.235   0.97  앞목선,앞어깨선,앞암홀,앞옆선
